id,jozz,page,sura_no,sura_name_en,sura_name_ar,line_start,line_end,aya_no,aya_text,aya_text_emlaey,aya_tafseer
1,1,1,1,Al-Fātiḥah,"الفَاتِحة ",2,2,1,"بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ﰀ","بسم الله الرحمن الرحيم","[1] أبتدئ قراءة القرآن باسم الله مستعيناً به، <span class='aya'>ﵡ ٱللَّهِﵠ</span> علم على الرب -تبارك وتعالى- المعبود بحق دون سواه، وهو أخص أسماء الله تعالى، ولا يسمى به غيره سبحانه.<span class='aya'>ﵡٱلرَّحۡمَٰنِﵠ</span> ذي الرحمة العامة الذي وسعت رحمته جميع الخلق، <span class='aya'>ﵡٱلرَّحِيمِﵠ</span> بالمؤمنين، وهما اسمان من أسمائه تعالى، يتضمنان إثبات صفة الرحمة لله تعالى، كما يليق بجلاله."
2,1,1,1,Al-Fātiḥah,"الفَاتِحة ",3,3,2,"ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ ﰁ","الحمد لله رب العالمين","[2] الثناء على الله بصفاته التي كلُّها أوصاف كمال، وبنعمه الظاهرة والباطنة، الدينية والدنيوية. وفي ضمنه أَمْرٌ لعباده أن يحمدوه، فهو المستحق له وحده، وهو سبحانه المنشئ للخلق، القائم بأمورهم، المربي لجميع خلقه بنعمه، ولأوليائه بالإيمان والعمل الصالح."
3,1,1,1,Al-Fātiḥah,"الفَاتِحة ",4,4,3,"ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ﰂ","الرحمن الرحيم","[3] <span class='aya'>ﵡٱلرَّحۡمَٰنِﵠ</span> ذي الرحمة العامة الذي وسعت رحمته جميع الخلق، <span class='aya'>ﵡٱلرَّحِيمِﵠ</span> بالمؤمنين، وهما اسمان من أسماء الله تعالى."
4,1,1,1,Al-Fātiḥah,"الفَاتِحة ",4,4,4,"مَٰلِكِ يَوۡمِ ٱلدِّينِ ﰃ","مالك يوم الدين","[4] وهو سبحانه وحده مالك يوم القيامة، وهو يوم الجزاء على الأعمال.وفي قراءة المسلم لهذه الآية في كل ركعة من صلواته تذكير له باليوم الآخر، وحثٌّ له على الاستعداد بالعمل الصالح، والكف عن المعاصي والسيئات."
5,1,1,1,Al-Fātiḥah,"الفَاتِحة ",5,5,5,"إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ ﰄ","إياك نعبد وإياك نستعين","[5] إنا نخصك وحدك بالعبادة، ونستعين بك وحدك في جميع أمورنا، فالأمر كله بيدك، لا يملك منه أحد مثقال ذرة.وفي هذه الآية دليل على أن العبد لا يجوز له أن يصرف شيئاً من أنواع العبادة كالدعاء، والاستغاثة، والذبح، والطواف إلا لله وحده، وفيها شفاء القلوب من داء التعلق بغير الله، ومن أمراض الرياء، والعجب، والكبرياء."
6,1,1,1,Al-Fātiḥah,"الفَاتِحة ",5,6,6,"ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ ﰅ","اهدنا الصراط المستقيم","[6] دُلَّنا وأرشدنا، ووفقنا إلى الطريق المستقيم، وثبتنا عليه حتى نلقاك، وهو الإسلام الذي هو الطريق الواضح الموصل إلى رضوان الله وإلى جنته، الذي دلَّ عليه خاتم رسله وأنبيائه محمد -صلى الله عليه وسلم-، فلا سبيل إلى سعادة العبد إلا بالاستقامة عليه."
7,1,1,1,Al-Fātiḥah,"الفَاتِحة ",6,8,7,"صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ ﰆ","صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين","[7] طريق الذين أنعمت عليهم، من النبيين والصدِّيقين والشهداء والصالحين، فهم أهل الهداية والاستقامة، ولا تجعلنا ممن سلك طريق المغضوب عليهم، الذين عرفوا الحق ولم يعملوا به، وهم اليهود، ومن كان على شاكلتهم، ولا تجعلنا من الضالين، وهم الذين لم يهتدوا عن جهل منهم، فضلوا الطريق، وهم النصارى، ومن اتبع سنتهم.وفي هذا الدعاء شفاء لقلب المسلم من مرض الجحود والجهل والضلال، ودلالة على أن أعظم نعمة على الإطلاق هي نعمة الإسلام، فمن كان أعرف للحق وأتبع له، كان أولى بالصراط المستقيم، ولا ريب أن أصحاب رسول الله -صلى الله عليه وسلم- هم أولى الناس بذلك بعد الأنبياء عليهم السلام، فدلت الآية على فضلهم، وعظيم منزلتهم، رضي الله عنهم.ويستحب للقارئ أن يقول في الصلاة بعد قراءة الفاتحة: <span class='aya'>ﵡآمينﵠ</span>، ومعناها: اللهم استجب، وليست آية من سورة الفاتحة باتفاق العلماء؛ ولهذا أجمعوا على عدم كتابتها في المصاحف. "
8,1,2,2,Al-Baqarah,"البَقَرَة ",3,3,1,الٓمٓ ﰀ,الم,"[1] <span class='aya'>ﵡالٓمٓ ﵠ</span> هذه الحروف وغيرها من الحروف المقطَّعة في أوائل السور، فيها إشارة إلى إعجاز القرآن؛ فقد وقع به تحدي المشركين، فعجَزوا عن معارضته، وهو مركَّب من هذه الحروف التي تتكون منها لغة العرب. فدَلَّ عجز العرب عن الإتيان بمثله -مع أنهم أفصح الناس- على أن القرآن وحي من الله."
9,1,2,2,Al-Baqarah,"البَقَرَة ",3,4,2,"ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ ﰁ","ذلك الكتاب لا ريب فيه هدى للمتقين","[2] ذلك القرآن هو الكتاب العظيم الذي لا شَكَّ أنه من عند الله، فلا يصحُّ أن يرتاب فيه أحدٌ لوضوحه، ينتفع به المتقون بالعلم النافع والعمل الصالح، وهم الذين يخافون الله، ويتبعون أحكامه."
10,1,2,2,Al-Baqarah,"البَقَرَة ",4,5,3,"ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ ﰂ","الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون","[3] وهم الذين يُصَدِّقون بالغيب الذي لا تدركه حواسُّهم ولا عقولهم وحدها؛ لأنه لا يُعْرف إلا بوحي الله إلى رسله، مثل الإيمان بالملائكة، والجنة، والنار، وغير ذلك مما أخبر الله به أو أخبر به رسوله -صلى الله عليه وسلم-، (والإيمان: كلمة جامعة للإقرار بالله، وملائكته، وكتبه، ورسله، واليوم الآخر، والقدر خيره وشره، وتصديق الإقرار بالقول والعمل بالقلب واللسان والجوارح) وهم مع تصديقهم بالغيب يحافظون على أداء الصلاة في مواقيتها أداءً صحيحاً وَفْق ما شرع الله لنبيه محمد -صلى الله عليه وسلم-، ومما أعطيناهم من المال يخرجون صدقة أموالهم الواجبة والمستحبة."
11,1,2,2,Al-Baqarah,"البَقَرَة ",5,6,4,"وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ ﰃ","والذين يؤمنون بما أنـزل إليك وما أنـزل من قبلك وبالآخرة هم يوقنون","[4] والذين يُصَدِّقون بما أُنزل إليك أيها الرسول من القرآن، وبما أنزل إليك من الحكمة، وهي السنة، وبكل ما أُنزل مِن قبلك على الرسل من كتب، كالتوراة والإنجيل وغيرهما، ويُصَدِّقون بدار الحياة بعد الموت وما فيها من الحساب والجزاء، تصديقاً بقلوبهم يظهر على ألسنتهم وجوارحهم. وخص يوم الآخرة بالذِّكْر؛ لأن الإيمان به من أعظم البواعث على فعل الطاعات، واجتناب المحرمات، ومحاسبة النفس."
12,1,2,2,Al-Baqarah,"البَقَرَة ",7,8,5,"أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ ﰄ","أولئك على هدى من ربهم وأولئك هم المفلحون","[5] أصحاب هذه الصفات على نور من ربهم وبتوفيق مِن خالقهم وهاديهم، وهم الفائزون الذين أدركوا ما طلبوا، ونَجَوا من شرِّ ما منه هربوا. "
13,1,3,2,Al-Baqarah,"البَقَرَة ",1,2,6,"إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ ﰅ","إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون","[6] إن الذين جحدوا ما أُنزل إليك من ربك استكباراً وطغياناً، لن يقع منهم الإيمان، سواء أخوَّفتهم وحذرتهم -أيها الرسول- من عذاب الله، أم تركت ذلك؛ لإصرارهم على باطلهم."
14,1,3,2,Al-Baqarah,"البَقَرَة ",2,3,7,"خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ ﰆ","ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم","[7] طبع الله على قلوب هؤلاء وعلى سمعهم، وجعل على أبصارهم غطاء؛ بسبب كفرهم وعنادهم مِن بعد ما تبيَّن لهم الحق، فلم يوفقهم للهدى، ولهم عذاب شديد في نار جهنم."
15,1,3,2,Al-Baqarah,"البَقَرَة ",3,4,8,"وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ ﰇ","ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين","[8] ومن الناس فريق يتردد متحيِّراً بين المؤمنين والكافرين، وهم المنافقون الذين يقولون بألسنتهم: صَدَّقْنا بالله وباليوم الآخر، وهم في باطنهم كاذبون لم يؤمنوا."
16,1,3,2,Al-Baqarah,"البَقَرَة ",5,6,9,"يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ ﰈ","يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون","[9] يعتقدون بجهلهم أنهم يخادعون الله والذين آمنوا بإظهارهم الإيمان وإضمارهم الكفر، وما يخدعون إلا أنفسهم؛ لأن عاقبة خداعهم تعود عليهم. ومِن فرط جهلهم لا يُحِسُّون بذلك؛ لفساد قلوبهم."
17,1,3,2,Al-Baqarah,"البَقَرَة ",6,7,10,"فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ ﰉ","في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون","[10] في قلوبهم شكٌّ وفساد فابْتُلوا بالمعاصي الموجبة لعقوبتهم، فزادهم الله شكّاً، ولهم عقوبة موجعة؛ بسبب كذبهم ونفاقهم."
18,1,3,2,Al-Baqarah,"البَقَرَة ",7,8,11,"وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ ﰊ","وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون","[11] وإذا نُصحوا ليكفُّوا عن الإفساد في الأرض بالكفر والمعاصي، وإفشاء أسرار المؤمنين، وموالاة الكافرين، قالوا -كذباً وجدالاً-: إنما نحن أهل الإصلاح."
19,1,3,2,Al-Baqarah,"البَقَرَة ",8,9,12,"أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ ﰋ","ألا إنهم هم المفسدون ولكن لا يشعرون","[12] إنَّ هذا الذي يفعلونه ويزعمون أنه إصلاح هو عين الفساد، لكنهم بسبب جهلهم وعنادهم لا يُحِسُّون."
20,1,3,2,Al-Baqarah,"البَقَرَة ",9,11,13,"وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ ﰌ","وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون","[13] وإذا قيل للمنافقين: آمِنوا -مثل إيمان الصحابة، وهو الإيمان بالقلب واللسان والجوارح- جادَلوا وقالوا: أنُصَدِّق مثل تصديق ضعاف العقل والرأي، فنكون نحن وهم في السَّفَهِ سواء؟ فردَّ الله عليهم بأن السَّفَهَ مقصور عليهم، وهم لا يعلمون أنَّ ما هم فيه هو الضلال والخسران."
21,1,3,2,Al-Baqarah,"البَقَرَة ",11,13,14,"وَإِذَا لَقُواْ ٱلَّذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّا وَإِذَا خَلَوۡاْ إِلَىٰ شَيَٰطِينِهِمۡ قَالُوٓاْ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ ﰍ","وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون","[14] هؤلاء المنافقون إذا قابلوا المؤمنين قالوا: صَدَّقنا بالإسلام مثلكم، وإذا انصرفوا وذهبوا إلى زعمائهم الكفرة المتمردين على الله أكَّدوا لهم أنهم على ملة الكفر لم يتركوها، وإنما كانوا يَسْتَخِفُّون بالمؤمنين، ويسخرون منهم."
22,1,3,2,Al-Baqarah,"البَقَرَة ",13,14,15,"ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ ﰎ","الله يستهزئ بهم ويمدهم في طغيانهم يعمهون","[15] الله يستهزئ بهم ويُمهلهم؛ ليزدادوا ضلالاً وحَيْرة وترددّاً، ويجازيهم على استهزائهم بالمؤمنين."
23,1,3,2,Al-Baqarah,"البَقَرَة ",14,15,16,"أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ ﰏ","أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين","[16] أولئك المنافقون باعوا أنفسهم في صفقة خاسرة، فأخذوا الكفر، وتركوا الإيمان، فما كسبوا شيئاً، بل خَسِروا الهداية. وهذا هو الخسران المبين."
24,1,4,2,Al-Baqarah,"البَقَرَة ",1,2,17,"مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِي ظُلُمَٰتٖ لَّا يُبۡصِرُونَ ﰐ","مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون","[17] حال المنافقين الذين آمنوا -ظاهراً لا باطناً- برسالة محمد -صلى الله عليه وسلم-، ثم كفروا، فصاروا يتخبطون في ظلماتِ ضلالهم وهم لا يشعرون، ولا أمل لهم في الخروج منها، تُشْبه حالَ جماعة في ليلة مظلمة، وأوقد أحدهم ناراً عظيمة للدفء والإضاءة، فلما سطعت النار وأنارت ما حوله، انطفأت وأعتمت، فصار أصحابها في ظلمات لا يرون شيئاً، ولا يهتدون إلى طريق ولا مخرج."
25,1,4,2,Al-Baqarah,"البَقَرَة ",2,3,18,"صُمُّۢ بُكۡمٌ عُمۡيٞ فَهُمۡ لَا يَرۡجِعُونَ ﰑ","صم بكم عمي فهم لا يرجعون","[18] هم صُمٌّ عن سماع الحق سماع تدبر، بُكْم عن النطق به، عُمْي عن إبصار نور الهداية؛ لذلك لا يستطيعون الرجوع إلى الإيمان الذي تركوه، واستعاضوا عنه بالضلال."
26,1,4,2,Al-Baqarah,"البَقَرَة ",3,5,19,"أَوۡ كَصَيِّبٖ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعۡدٞ وَبَرۡقٞ يَجۡعَلُونَ أَصَٰبِعَهُمۡ فِيٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِيطُۢ بِٱلۡكَٰفِرِينَ ﰒ","أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت والله محيط بالكافرين","[19] أو تُشْبه حالُ فريق آخر من المنافقين يظهر لهم الحق تارة، ويشكُّون فيه تارة أخرى، حالَ جماعة يمشون في العراء، فينصبُّ عليهم مطر شديد، تصاحبه ظلمات بعضها فوق بعض، مع قصف الرعد، ولمعان البرق، والصواعق المحرقة، التي تجعلهم من شدة الهول يضعون أصابعهم في آذانهم؛ خوفاً من الهلاك. والله تعالى محيط بالكافرين لا يفوتونه ولا يعجزونه."
27,1,4,2,Al-Baqarah,"البَقَرَة ",5,8,20,"يَكَادُ ٱلۡبَرۡقُ يَخۡطَفُ أَبۡصَٰرَهُمۡۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوۡاْ فِيهِ وَإِذَآ أَظۡلَمَ عَلَيۡهِمۡ قَامُواْۚ وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ ﰓ","يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم إن الله على كل شيء قدير","[20] يقارب البرق -من شدة لمعانه- أن يَسْلُب أبصارهم، ومع ذلك فكلَّما أضاء لهم مشَوْا في ضوئه، وإذا ذهب أظلم الطريق عليهم فيقفون في أماكنهم. ولولا إمهال الله لهم لَسَلَبَ سمعهم وأبصارهم، وهو قادر على ذلك في كل وقتٍ، إنه على كل شيء قدير."
28,1,4,2,Al-Baqarah,"البَقَرَة ",8,9,21,"يَٰٓأَيُّهَا ٱلنَّاسُ ٱعۡبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمۡ وَٱلَّذِينَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ ﰔ","ياأيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون","[21] نداء من الله للبشر جميعاً: أن اعبدوا الله الذي ربَّاكم بنعمه، وخافوه ولا تخالفوا دينه؛ فقد أوجدكم من العدم، وأوجد الذين مِن قبلكم؛ لتكونوا من المتقين الذين رضي الله عنهم ورضوا عنه."
29,1,4,2,Al-Baqarah,"البَقَرَة ",9,12,22,"ٱلَّذِي جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرَٰشٗا وَٱلسَّمَآءَ بِنَآءٗ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءٗ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزۡقٗا لَّكُمۡۖ فَلَا تَجۡعَلُواْ لِلَّهِ أَندَادٗا وَأَنتُمۡ تَعۡلَمُونَ ﰕ","الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون","[22] ربكم الذي جعل لكم الأرض بساطاً؛ لتسهل حياتكم عليها، والسماء محكمة البناء، وأنزل المطر من السحاب فأخرج لكم به من ألوان الثمرات وأنواع النبات رزقاً لكم، فلا تجعلوا لله نظراء في العبادة، وأنتم تعلمون تفرُّده بالخلق والرزق، واستحقاقَه العبودية."
30,1,4,2,Al-Baqarah,"البَقَرَة ",12,14,23,"وَإِن كُنتُمۡ فِي رَيۡبٖ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُواْ بِسُورَةٖ مِّن مِّثۡلِهِۦ وَٱدۡعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَٰدِقِينَ ﰖ","وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين","[23] وإن كنتم -أيها الكافرون المعاندون- في شَكٍّ من القرآن الذي نَزَّلناه على عبدنا محمد -صلى الله عليه وسلم-، وتزعمون أنه ليس من عند الله، فهاتوا سورة تماثل سورة من القرآن، واستعينوا بمن تقدرون عليه مِن أعوانكم، إن كنتم صادقين في دعواكم."
31,1,4,2,Al-Baqarah,"البَقَرَة ",14,15,24,"فَإِن لَّمۡ تَفۡعَلُواْ وَلَن تَفۡعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُۖ أُعِدَّتۡ لِلۡكَٰفِرِينَ ﰗ","فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة أعدت للكافرين","[24] فإن عجَزتم الآن -وستعجزون مستقبلاً لا محالة- فاتَّقوا النار بالإيمان بالنبي -صلى الله عليه وسلم- وطاعة الله تعالى. هذه النار التي حَطَبُها الناس والحجارة، أُعِدَّتْ للكافرين بالله ورسله."
